2025-03-06 at 11:05:56 | INFO | Бот запущен.
2025-03-06 at 11:06:53 | ERROR | Бот остановлен.
2025-03-06 at 11:06:58 | INFO | Бот запущен.
2025-03-06 at 11:10:31 | ERROR | Бот остановлен.
2025-03-06 at 11:10:55 | INFO | Бот запущен.
2025-03-06 at 11:11:01 | ERROR | Бот остановлен.
2025-03-06 at 11:11:05 | INFO | Бот запущен.
2025-03-06 at 11:11:26 | ERROR | Бот остановлен.
2025-03-06 at 11:11:30 | INFO | Бот запущен.
2025-03-06 at 11:11:51 | ERROR | Бот остановлен.
2025-03-06 at 11:16:34 | INFO | Бот запущен.
2025-03-06 at 11:16:45 | ERROR | Бот остановлен.
2025-03-06 at 11:19:46 | INFO | Бот запущен.
2025-03-06 at 11:19:51 | ERROR | Бот остановлен.
2025-03-06 at 11:20:30 | INFO | Бот запущен.
2025-03-06 at 11:21:01 | ERROR | Бот остановлен.
2025-03-06 at 11:21:04 | INFO | Бот запущен.
2025-03-06 at 11:22:32 | ERROR | Бот остановлен.
2025-03-06 at 11:22:34 | INFO | Бот запущен.
2025-03-06 at 11:23:26 | ERROR | Бот остановлен.
2025-03-06 at 11:23:28 | INFO | Бот запущен.
2025-03-06 at 11:24:40 | ERROR | Бот остановлен.
2025-03-06 at 11:24:45 | INFO | Бот запущен.
2025-03-06 at 11:25:33 | ERROR | Бот остановлен.
2025-03-06 at 11:25:36 | INFO | Бот запущен.
2025-03-06 at 11:27:32 | ERROR | Бот остановлен.
2025-03-06 at 11:27:36 | INFO | Бот запущен.
2025-03-06 at 11:27:44 | ERROR | Бот остановлен.
2025-03-06 at 11:29:02 | INFO | Бот запущен.
2025-03-06 at 11:29:15 | ERROR | Бот остановлен.
2025-03-06 at 11:29:32 | INFO | Бот запущен.
2025-03-06 at 11:30:24 | ERROR | Бот остановлен.
2025-03-06 at 11:35:48 | INFO | Бот запущен.
2025-03-06 at 11:50:34 | ERROR | Бот остановлен.
2025-03-06 at 11:50:36 | INFO | Бот запущен.
2025-03-06 at 11:54:17 | ERROR | Бот остановлен.
2025-03-06 at 11:54:19 | INFO | Бот запущен.
2025-03-06 at 11:56:52 | ERROR | Бот остановлен.
2025-03-06 at 11:56:55 | INFO | Бот запущен.
2025-03-06 at 12:00:47 | ERROR | Бот остановлен.
2025-03-06 at 12:00:50 | INFO | Бот запущен.
2025-03-06 at 12:03:06 | ERROR | Бот остановлен.
2025-03-06 at 12:03:08 | INFO | Бот запущен.
2025-03-06 at 12:04:12 | ERROR | Бот остановлен.
2025-03-06 at 12:04:15 | INFO | Бот запущен.
2025-03-06 at 12:04:47 | ERROR | Бот остановлен.
2025-03-06 at 12:04:49 | INFO | Бот запущен.
2025-03-06 at 12:05:03 | ERROR | Бот остановлен.
2025-03-06 at 12:05:06 | INFO | Бот запущен.
2025-03-06 at 12:06:57 | ERROR | Бот остановлен.
2025-03-06 at 12:06:59 | INFO | Бот запущен.
2025-03-06 at 12:08:39 | ERROR | Бот остановлен.
2025-03-06 at 12:09:11 | INFO | Бот запущен.
2025-03-06 at 12:10:04 | ERROR | Бот остановлен.
2025-03-06 at 12:10:11 | INFO | Бот запущен.
2025-03-06 at 12:10:16 | ERROR | Бот остановлен.
2025-03-06 at 12:11:34 | INFO | Бот запущен.
2025-03-06 at 12:12:43 | ERROR | Бот остановлен.
2025-03-06 at 12:13:57 | INFO | Бот запущен.
2025-03-06 at 12:14:10 | ERROR | Бот остановлен.
2025-03-06 at 12:14:29 | INFO | Бот запущен.
2025-03-06 at 12:14:34 | ERROR | Бот остановлен.
